"External ID","Name","State","Country","Zip"
"__export__.res_city_19113_4af39a92","ALTAMIRANO","base.state_ar_e","base.ar","317401"
"__export__.res_city_19114_82a364d6","ALTE.BROWN","base.state_ar_b","base.ar","184601"
"__export__.res_city_19115_4dbe9502","ALTO  VERDE","base.state_ar_m","base.ar","558201"
"__export__.res_city_19116_6bcce717","ALTO ALBERDI","base.state_es_co","base.ar","500300"
"__export__.res_city_19117_7d2b8cbb","ALTO ALEGRE","base.state_es_co","base.ar","590700"
"__export__.res_city_19118_32b3e5bf","ALTO COMEDERO","base.state_ar_y","base.ar","460002"
"__export__.res_city_19119_8f308abb","ALTO PENCOSO","base.state_ar_d","base.ar","572400"
"__export__.res_city_19120_1fe40266","ALTO RIO SENGUER","base.state_ar_u","base.ar","903300"
"__export__.res_city_19121_80067c0b","ALTO VERDE","base.state_ar_s","base.ar","300113"
"__export__.res_city_19122_7bb625ed","ALTO VERDE","base.state_ar_s","base.ar","300203"
"__export__.res_city_19123_e186c7c5","ALTOS DE CHIPION","base.state_es_co","base.ar","241700"
"__export__.res_city_19124_e447f1dd","ALTOS DEL TALAR","base.state_ar_b","base.ar","161700"
"__export__.res_city_19125_7b52e358","ALUMINE","base.state_ar_q","base.ar","834500"
"__export__.res_city_19126_fde15a63","ALVAREZ","base.state_ar_s","base.ar","211400"
"__export__.res_city_19127_69703074","ALVAREZ","base.state_ar_s","base.ar","210700"
"__export__.res_city_19128_4d3e94ff","ALVEAR","base.state_ar_s","base.ar","212603"
"__export__.res_city_19129_22a13466","ALVEAR","base.state_ar_w","base.ar","334400"
"__export__.res_city_19130_f8279b4d","AMAICHA DEL VALLE","base.state_ar_t","base.ar","413702"
"__export__.res_city_19131_360515c3","AMBROSETTI","base.state_ar_s","base.ar","235200"
"__export__.res_city_19132_ffba8c58","AMBUL","base.state_es_co","base.ar","529900"
"__export__.res_city_19133_399aff34","AMEGHINO","base.state_ar_b","base.ar","606400"
"__export__.res_city_19134_0ccfa05d","AMEGHINO-BCO BIRCO","base.state_ar_b","base.ar","606401"
"__export__.res_city_19135_71aa0d39","AMENABAR","base.state_ar_s","base.ar","610300"
"__export__.res_city_19136_7c13e208","AMERICA","base.state_ar_b","base.ar","623701"
"__export__.res_city_19138_5ab62812","ANCASTI","base.state_ar_k","base.ar","470101"
"__export__.res_city_19139_534ef568","ANCHORENA","base.state_ar_d","base.ar","638901"
"__export__.res_city_19140_478dd1ea","ANDACOLLO","base.state_ar_q","base.ar","835400"
"__export__.res_city_19141_b5a6a1ba","ANDALGALA","base.state_ar_k","base.ar","474000"
"__export__.res_city_19142_b048d50f","ANDINO","base.state_ar_s","base.ar","221401"
"__export__.res_city_19145_ce65dc4a","ANGASTACO","base.state_ar_a","base.ar","442701"
"__export__.res_city_19146_cc2106b4","ANGELICA","base.state_ar_s","base.ar","230300"
"__export__.res_city_19147_c9cd8d62","ANGUIL","base.state_ar_l","base.ar","632600"
"__export__.res_city_19148_0e27253c","ANGUINAN","base.state_ar_f","base.ar","536300"
"__export__.res_city_19149_f565c8eb","ANILLACO","base.state_ar_f","base.ar","530100"
"__export__.res_city_19150_91a17857","ANOZATEGUI","base.state_ar_l","base.ar","813805"
"__export__.res_city_19151_77aece7e","ANQUINCILA","base.state_ar_k","base.ar","470102"
"__export__.res_city_19152_2dee40aa","ANTA","base.state_ar_a","base.ar","443400"
"__export__.res_city_19153_3d0b13a3","ANTELO","base.state_ar_e","base.ar","316100"
"__export__.res_city_19154_e2b746da","ANTOFAGASTA DE LA SIERRA","base.state_ar_k","base.ar","470502"
"__export__.res_city_19155_d7df7923","ANTONIO PINI","base.state_ar_s","base.ar","306100"
"__export__.res_city_19156_d31ec605","ANTONIO QUIJARRO","base.state_ar_a","base.ar","455201"
"__export__.res_city_19157_cb1bb630","ANTONIO TOMAS","base.state_ar_e","base.ar","312501"
"__export__.res_city_19158_686ad214","APOLIN.SARAVIA","base.state_ar_a","base.ar","444900"
"__export__.res_city_19159_c3d53cbb","APOSTOLES","base.state_ar_n","base.ar","335000"
"__export__.res_city_19160_2a5289d8","APOSTOLES","base.state_ar_n","base.ar","335001"
"__export__.res_city_19161_94214e02","ARANGUREN","base.state_ar_e","base.ar","316200"
"__export__.res_city_19162_21db3e67","ARATA","base.state_ar_l","base.ar","638501"
"__export__.res_city_19163_fcb003ea","ARBOL BLANCO","base.state_ar_g","base.ar","373101"
"__export__.res_city_19164_6c141e2a","ARBOL SOLO","base.state_ar_d","base.ar","570002"
"__export__.res_city_19165_d8881cdd","ARBOLEDAS","base.state_ar_b","base.ar","655700"
"__export__.res_city_19166_bc340512","ARCADIA","base.state_ar_t","base.ar","414700"
"__export__.res_city_19167_156a88d6","ARENAZA","base.state_ar_b","base.ar","607501"
"__export__.res_city_19168_0d392cf4","AREQUITO","base.state_ar_s","base.ar","218300"
"__export__.res_city_19169_6a1f828d","ARGENTINA","base.state_ar_g","base.ar","235401"
"__export__.res_city_19170_0c8bd44c","ARGUELLO","base.state_es_co","base.ar","514700"
"__export__.res_city_19171_8d578fea","ARIAS","base.state_es_co","base.ar","262400"
"__export__.res_city_19172_d94f2143","ARIJON","base.state_ar_s","base.ar","224400"
"__export__.res_city_19173_5769daf2","ARIST.DEL VALLE","base.state_ar_b","base.ar","160200"
"__export__.res_city_19174_c8b6c795","ARISTOBULO DEL VALLE","base.state_ar_n","base.ar","336402"
"__export__.res_city_19175_8e67b162","ARIZONA","base.state_ar_d","base.ar","638900"
"__export__.res_city_19176_cab44d22","ARMINDA","base.state_ar_s","base.ar","211902"
"__export__.res_city_19177_8a431e8d","ARMSTRONG","base.state_ar_s","base.ar","250800"
"__export__.res_city_19178_58647cc8","AROCENA","base.state_ar_s","base.ar","224203"
"__export__.res_city_19179_c84867a3","ARRAGA","base.state_ar_g","base.ar","420600"
"__export__.res_city_19180_16576d93","ARRECIFES","base.state_ar_b","base.ar","274000"
"__export__.res_city_19181_86a4ef12","ARRIBEÑOS","base.state_ar_b","base.ar","600700"
"__export__.res_city_19182_5b800943","ARRIBEÑOS-BCO. LOCA","","base.ar","600701"
"__export__.res_city_19183_19517623","ARROYITO","base.state_es_co","base.ar","243400"
"__export__.res_city_19184_6897e40c","ARROYO AGUIAR","base.state_ar_s","base.ar","301402"
"__export__.res_city_19185_f1a54553","ARROYO ALGODON","base.state_es_co","base.ar","590900"
"__export__.res_city_19186_f8b0c209","ARROYO BARU","base.state_ar_e","base.ar","326903"
"__export__.res_city_19187_67a7011d","ARROYO CABRAL","base.state_es_co","base.ar","591700"
"__export__.res_city_19188_62e5af10","ARROYO CEIBAL","base.state_ar_s","base.ar","357500"
"__export__.res_city_19189_258fba53","ARROYO DULCE","base.state_ar_b","base.ar","274300"
"__export__.res_city_19190_ccff7b24","ARROYO DULCE-LOCAL","base.state_ar_b","base.ar","274301"
"__export__.res_city_19191_1c0a7566","ARROYO LEYES","base.state_ar_s","base.ar","300112"
"__export__.res_city_19192_16b5fb60","ARROYO LOS PATOS","base.state_es_co","base.ar","588902"
"__export__.res_city_19193_39ac4122","ARROYO MARTINEZ","base.state_ar_e","base.ar","164700"
"__export__.res_city_19194_7c2ce6c8","ARROYO SECO","base.state_ar_s","base.ar","212800"
